,,,a,,,,
Region code,Region label,Commodity code,Commodity description, Estimate , Estimate - Relative Standard Error (Percent) , Number of agricultural businesses , Number of agricultural businesses - Relative Standard Error (Percent) 
110011189,Walcha,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",945,^,14,^
110011189,Walcha,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),16,*,1,*
110011189,Walcha,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),29,*,1,*
110011189,Walcha,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),1.8,,..,
110011189,Walcha,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",2,^,4,^
110011189,Walcha,AGNURFLWTUAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",0,*,1,*
110011189,Walcha,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",467,^,6,^
110011189,Walcha,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"1,181",^,14,
110021190,Glen Innes,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"336,430",,316,
110021190,Glen Innes,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),316,,316,
110021190,Glen Innes,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),2,,2,
110021190,Glen Innes,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"1,058",,2,
110021190,Glen Innes,AGWATSRCAMLICH_F,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),757,,1,
110021190,Glen Innes,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",28,,1,
110021190,Glen Innes,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",28,,1,
110021190,Glen Innes,AGWATSRCAMLOTH_F,Water source - Other sources of water (excluding rainfall) - Total volume used (ML),273,,1,
110021190,Glen Innes,AGWATRPRODAHA_F,Water use - Total area watered (ha),767,,2,
110021190,Glen Innes,AGWATRPRODAML_F,Water use - Total volume applied (ML),"1,058",,2,
110021190,Glen Innes,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),1.4,,..,
110021190,Glen Innes,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"282,361",,301,
110021190,Glen Innes,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),406,,2,
110021190,Glen Innes,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),889,,2,
110021190,Glen Innes,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.2,,..,
110021190,Glen Innes,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","3,277",,43,
110021190,Glen Innes,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),361,,1,
110021190,Glen Innes,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),169,,1,
110021190,Glen Innes,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),0.5,,..,
110021190,Glen Innes,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),87,,3,^
110021190,Glen Innes,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",1,*,1,*
110021190,Glen Innes,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","5,632",^,36,
110021190,Glen Innes,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"11,602",,38,
110021191,Inverell,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"35,189",^,37,
110021191,Inverell,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),37,,37,
110021191,Inverell,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),1,*,1,*
110021191,Inverell,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),35,*,1,*
110021191,Inverell,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",35,*,1,*
110021191,Inverell,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",35,*,1,*
110021191,Inverell,AGWATRPRODAHA_F,Water use - Total area watered (ha),12,*,1,*
110021191,Inverell,AGWATRPRODAML_F,Water use - Total volume applied (ML),35,*,1,*
110021191,Inverell,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),3.0,,..,
110021191,Inverell,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"25,133",^,34,
110021191,Inverell,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",182,*,4,^
110021191,Inverell,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),12,*,1,*
110021191,Inverell,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),35,*,1,*
110021191,Inverell,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.0,,..,
110021191,Inverell,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","2,722",^,11,^
110021191,Inverell,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),662,*,4,^
110021192,Inverell Surrounds - East,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"491,095",,328,
110021192,Inverell Surrounds - East,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),328,,328,
110021192,Inverell Surrounds - East,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),29,,29,
110021192,Inverell Surrounds - East,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"10,185",^,29,
110021192,Inverell Surrounds - East,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),269,*,7,^
110021192,Inverell Surrounds - East,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","1,724",^,17,
110021192,Inverell Surrounds - East,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1,468",^,12,^
110021192,Inverell Surrounds - East,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",256,*,5,^
110021192,Inverell Surrounds - East,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","8,079",^,15,^
110021192,Inverell Surrounds - East,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",113,*,1,*
110021192,Inverell Surrounds - East,AGWATRPRODAHA_F,Water use - Total area watered (ha),"3,200",^,29,
110021192,Inverell Surrounds - East,AGWATRPRODAML_F,Water use - Total volume applied (ML),"9,174",^,29,
110021192,Inverell Surrounds - East,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),2.9,,..,
110021192,Inverell Surrounds - East,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"377,818",,308,
110021192,Inverell Surrounds - East,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),650,^,14,
110021192,Inverell Surrounds - East,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),"1,493",^,14,
110021192,Inverell Surrounds - East,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),2.3,,..,
110021192,Inverell Surrounds - East,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","3,868",^,58,
110021192,Inverell Surrounds - East,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),251,*,6,^
110021192,Inverell Surrounds - East,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),745,*,6,^
110021192,Inverell Surrounds - East,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.0,*,..,
110021192,Inverell Surrounds - East,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),6,*,1,*
110021192,Inverell Surrounds - East,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",203,*,1,*
110021192,Inverell Surrounds - East,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",203,*,1,*
110021192,Inverell Surrounds - East,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","1,119",*,1,*
110021192,Inverell Surrounds - East,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",5.5,,..,
110021192,Inverell Surrounds - East,AGGRAPE_AHA_F,Water use - Grapevines - Total area grown (ha),89,*,2,*
110021192,Inverell Surrounds - East,AGWATRGRAPAHA_F,Water use - Grapevines - Area watered (ha),11,*,1,*
110021192,Inverell Surrounds - East,AGWATRGRAPAML_F,Water use - Grapevines - Volume applied (ML),34,*,1,*
110021192,Inverell Surrounds - East,Watapp_Grapevines_rate_F,Water use - Grapevines - Application rate (ML/ha),3.0,,..,
110021192,Inverell Surrounds - East,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","42,467",,98,
110021192,Inverell Surrounds - East,AGWATRCCRPGRSAHA_F,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",468,^,6,^
110021192,Inverell Surrounds - East,AGWATRCCRPGRSAML_F,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",699,^,6,^
110021192,Inverell Surrounds - East,Watapp_Other_cer_rate_F,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",1.5,,..,
110021192,Inverell Surrounds - East,AGCOTTPLTDAHA_F,Water use - Cotton - Total area grown (ha) (c),"1,468",^,7,^
110021192,Inverell Surrounds - East,AGWATROCRPAHACOT_F,Water use - Cotton - Area watered (ha),"1,468",^,7,^
110021192,Inverell Surrounds - East,AGWATROCRPAMLCOT_F,Water use - Cotton - Volume applied (ML),"4,930",^,7,^
110021192,Inverell Surrounds - East,Watapp_Cotton_rate_F,Water use - Cotton - Application rate (ML/ha),3.4,,..,
110021192,Inverell Surrounds - East,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"11,167",,58,
110021192,Inverell Surrounds - East,AGWATROTHCRPAHA_F,Water use - Other crops n.e.c. - Area watered (ha),148,*,1,*
110021192,Inverell Surrounds - East,AGWATROTHCRPAML_F,Water use - Other crops n.e.c. - Volume applied (ML),155,*,1,*
110021192,Inverell Surrounds - East,Watapp_Oth_crops_rate_F,Water use - Other crops n.e.c. - Application rate (ML/ha),1.1,,..,
110021193,Inverell Surrounds - West,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"524,862",,367,
110021193,Inverell Surrounds - West,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),367,,367,
110021193,Inverell Surrounds - West,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),10,^,10,^
110021193,Inverell Surrounds - West,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"2,238",*,10,^
110021193,Inverell Surrounds - West,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),143,*,1,*
110021193,Inverell Surrounds - West,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)",274,^,3,^
110021193,Inverell Surrounds - West,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)",169,,2,^
110021193,Inverell Surrounds - West,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",105,*,1,*
110021193,Inverell Surrounds - West,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","1,815",*,6,^
110021193,Inverell Surrounds - West,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)",6,,1,
110021193,Inverell Surrounds - West,AGWATRPRODAHA_F,Water use - Total area watered (ha),514,^,10,^
110021193,Inverell Surrounds - West,AGWATRPRODAML_F,Water use - Total volume applied (ML),"2,098",*,10,^
110021193,Inverell Surrounds - West,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),4.1,,..,
110021193,Inverell Surrounds - West,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"357,579",,342,
110021193,Inverell Surrounds - West,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),92,^,5,^
110021193,Inverell Surrounds - West,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),439,*,5,^
110021193,Inverell Surrounds - West,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),4.8,*,..,
110021193,Inverell Surrounds - West,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","5,832",,100,
110021193,Inverell Surrounds - West,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),101,^,2,^
110021193,Inverell Surrounds - West,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),160,*,2,^
110021193,Inverell Surrounds - West,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),1.6,,..,
110021193,Inverell Surrounds - West,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","76,445",,200,
110021193,Inverell Surrounds - West,AGWATRCCRPGRSAHA_F,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",26,*,2,*
110021193,Inverell Surrounds - West,AGWATRCCRPGRSAML_F,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",27,*,2,*
110021193,Inverell Surrounds - West,Watapp_Other_cer_rate_F,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",1.0,*,..,
110021193,Inverell Surrounds - West,AGCOTTPLTDAHA_F,Water use - Cotton - Total area grown (ha) (c),412,*,3,*
110021193,Inverell Surrounds - West,AGWATROCRPAHACOT_F,Water use - Cotton - Area watered (ha),294,*,1,*
110021193,Inverell Surrounds - West,AGWATROCRPAMLCOT_F,Water use - Cotton - Volume applied (ML),"1,472",*,1,*
110021193,Inverell Surrounds - West,Watapp_Cotton_rate_F,Water use - Cotton - Application rate (ML/ha),5.0,,..,
110021193,Inverell Surrounds - West,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"18,075",,100,
110021194,Tenterfield,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"334,437",,334,
110021194,Tenterfield,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),334,,334,
110021194,Tenterfield,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),33,,33,
110021194,Tenterfield,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"2,675",,33,
110021194,Tenterfield,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),750,,10,^
110021194,Tenterfield,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","1,302",^,24,
110021194,Tenterfield,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1,056",^,14,^
110021194,Tenterfield,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)",245,^,9,^
110021194,Tenterfield,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",623,^,3,^
110021194,Tenterfield,AGWATRPRODAHA_F,Water use - Total area watered (ha),"1,359",,33,
110021194,Tenterfield,AGWATRPRODAML_F,Water use - Total volume applied (ML),"2,343",,33,
110021194,Tenterfield,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),1.7,,..,
110021194,Tenterfield,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"268,203",,316,
110021194,Tenterfield,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),283,^,11,^
110021194,Tenterfield,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),321,^,11,^
110021194,Tenterfield,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),1.1,^,..,
110021194,Tenterfield,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",543,,32,
110021194,Tenterfield,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),189,^,12,^
110021194,Tenterfield,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),701,^,12,^
110021194,Tenterfield,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),3.7,^,..,
110021194,Tenterfield,AGVEGE_AHA_F,Water use - Vegetables - Total area grown (ha),297,^,10,^
110021194,Tenterfield,AGWATRVEGEAHA_F,Water use - Vegetables - Area watered (ha),291,^,6,^
110021194,Tenterfield,AGWATRVEGEAML_F,Water use - Vegetables - Volume applied (ML),406,^,6,^
110021194,Tenterfield,Watapp_Vegies_rate_F,Water use - Vegetables - Application rate (ML/ha),1.4,,..,
110021194,Tenterfield,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",456,^,8,^
110021194,Tenterfield,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",450,^,6,^
110021194,Tenterfield,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",770,^,6,^
110021194,Tenterfield,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",1.7,,..,
110021194,Tenterfield,AGGRAPE_AHA_F,Water use - Grapevines - Total area grown (ha),5,*,4,^
110021194,Tenterfield,AGWATRGRAPAHA_F,Water use - Grapevines - Area watered (ha),4,*,1,*
110021194,Tenterfield,AGWATRGRAPAML_F,Water use - Grapevines - Volume applied (ML),3,*,1,*
110021194,Tenterfield,Watapp_Grapevines_rate_F,Water use - Grapevines - Application rate (ML/ha),0.7,,..,
110021194,Tenterfield,AGNURFLWTUAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",19,^,6,^
110021194,Tenterfield,AGWATRNURSAHA_F,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",16,*,2,^
110021194,Tenterfield,AGWATRNURSAML_F,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",68,*,2,^
110021194,Tenterfield,Watapp_Nurseries_rate_F,"Water use - Nurseries, cut flowers and cultivated turf - Application rate (ML/ha)",4.2,,..,
110021194,Tenterfield,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",905,^,19,
110021194,Tenterfield,AGWATRCCRPGRSAHA_F,"Water use - Cereals for grain or seed, excluding rice - Area watered (ha)",126,*,4,*
110021194,Tenterfield,AGWATRCCRPGRSAML_F,"Water use - Cereals for grain or seed, excluding rice - Volume applied (ML)",76,*,4,*
110021194,Tenterfield,Watapp_Other_cer_rate_F,"Water use - Cereals for grain or seed, excluding rice - Application rate (ML/ha)",0.6,^,..,
110021194,Tenterfield,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"2,480",^,30,
110031195,Moree,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"90,876",,30,
110031195,Moree,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),30,,30,
110031195,Moree,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),3,*,3,*
110031195,Moree,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"1,211",*,3,*
110031195,Moree,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),38,*,1,*
110031195,Moree,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","1,084",*,1,*
110031195,Moree,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","1,084",*,1,*
110031195,Moree,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)",89,*,1,*
110031195,Moree,AGWATRPRODAHA_F,Water use - Total area watered (ha),174,*,3,*
110031195,Moree,AGWATRPRODAML_F,Water use - Total volume applied (ML),"1,128",*,3,*
110031195,Moree,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),6.5,,..,
110031195,Moree,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"26,616",^,17,
110031195,Moree,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",117,^,2,^
110031195,Moree,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",13,*,1,*
110031195,Moree,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",13,*,1,*
110031195,Moree,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",44,*,1,*
110031195,Moree,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",3.5,,..,
110031195,Moree,AGCEREALXRICHA_F,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)","47,630",,24,
110031195,Moree,AGCOTTPLTDAHA_F,Water use - Cotton - Total area grown (ha) (c),766,*,3,*
110031195,Moree,AGWATROCRPAHACOT_F,Water use - Cotton - Area watered (ha),161,*,1,*
110031195,Moree,AGWATROCRPAMLCOT_F,Water use - Cotton - Volume applied (ML),"1,084",*,1,*
110031195,Moree,Watapp_Cotton_rate_F,Water use - Cotton - Application rate (ML/ha),6.7,,..,
110031195,Moree,AGOTHCROPALL_AHA_F,Water use - Other crops n.e.c. - Total area grown (ha) (e),"4,372",,8,^
110031196,Moree Surrounds,AGLANDTOTLAHA_F,Area of holding - Total area (ha) (a),"1,948,196",,416,
110031196,Moree Surrounds,AGLANDTOTLHAFLAG_F,Number of agricultural businesses (no.),416,,416,
110031196,Moree Surrounds,AGWATRPRODFLAG_F,Number of agricultural businesses irrigating (no.),61,,61,
110031196,Moree Surrounds,AGWATRSRCASTML_F,Water source - Total volume of water from all sources (ML) (b),"136,658",,61,
110031196,Moree Surrounds,AGWATSRCAMLICH_F,Water source - Water taken from irrigation channels or irrigation pipelines - Total volume used (ML),"10,363",^,9,^
110031196,Moree Surrounds,AGWATSRCAMLONF_F,Water source - Water taken from on-farm dams or tanks - Total volume used (ML),"43,742",^,22,^
110031196,Moree Surrounds,AGWATERSRCAMLRIV_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Total volume used (ML)","69,114",^,30,
110031196,Moree Surrounds,AGWATSCRVCHAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where a volumetric/usage charge occurs - Total volume used (ML)","67,093",^,27,
110031196,Moree Surrounds,AGWATSCRVNCAML_F,"Water source - Water taken from rivers, creeks, lakes, etc. - Where there is no volumetric/usage charge - Total volume used (ML)","2,020",,4,^
110031196,Moree Surrounds,AGWATSRCAMLGRN_F,"Water source - Groundwater (e.g. bores, springs, wells) - Total volume used (ML)","12,234",^,28,
110031196,Moree Surrounds,AGWATSRCAMLREC_F,"Water source - Recycled/re-used water from off-farm sources (e.g. re-use schemes, mines) - Total volume used (ML)","1,205",,2,^
110031196,Moree Surrounds,AGWATRPRODAHA_F,Water use - Total area watered (ha),"33,517",,61,
110031196,Moree Surrounds,AGWATRPRODAML_F,Water use - Total volume applied (ML),"126,760",,61,
110031196,Moree Surrounds,Watapp_tarea_rate_F,Water use - Total application rate (ML/ha),3.8,,..,
110031196,Moree Surrounds,AGLANDGRAZEHA_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Total area grown (ha),"577,968",,292,
110031196,Moree Surrounds,AGWATRPACRAHAGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Area watered (ha),121,*,1,*
110031196,Moree Surrounds,AGWATRPACRAMLGRZ_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Volume applied (ML),121,*,1,*
110031196,Moree Surrounds,Watapp_Pastcer_grz_rate_F,Water use - Pastures (including lucerne) and cereal crops used for grazing or fed off - Application rate (ML/ha),1.0,,..,
110031196,Moree Surrounds,AGPASCRHAYSILAHA_F,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)","4,385",^,44,
110031196,Moree Surrounds,AGWATRPHAYSILAHA_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Area watered (ha),11,*,1,*
110031196,Moree Surrounds,AGWATRPHAYSILAML_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Volume applied (ML),61,*,1,*
110031196,Moree Surrounds,Watapp_Hay_silage_rate_F,Water use - Pastures (including lucerne) and cereal crops cut for hay and silage - Application rate (ML/ha),5.3,,..,
110031196,Moree Surrounds,AGFRUT_AHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)","1,584",,2,
110031196,Moree Surrounds,AGWATRFRUTAHA_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)","1,584",,2,
110031196,Moree Surrounds,AGWATRFRUTAML_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)","7,985",,2,
110031196,Moree Surrounds,Watapp_Fruit_rate_F,"Water use - Fruit trees, nut trees, plantation or berry fruits - Application rate (ML/ha)",5.0,,..,
